#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL
Streptococcus	Unknown	SC1B23	NZ_JABCRT010000006.1	0	19994	rre-containing	true	macedocin	14	BGC0000526	https://antismash-db.secondarymetabolites.org/area?record=NZ_JABCRT010000006.1&start=0&end=19994
Streptococcus	Unknown	SC1B23	NZ_JABCRT010000008.1	14213	24507	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JABCRT010000008.1&start=14213&end=24507
Streptococcus	Unknown	SC1B23	NZ_JABCRT010000009.1	102381	143539	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JABCRT010000009.1&start=102381&end=143539
Streptococcus	salivarius	57.I	NC_017594.1	311901	330735	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_017594.1&start=311901&end=330735
Streptococcus	salivarius	57.I	NC_017594.1	1533944	1575111	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_017594.1&start=1533944&end=1575111
Streptococcus	salivarius	57.I	NC_017594.1	1863630	1875727	ripp-like	false	quinolidomicin A	3	BGC0002520	https://antismash-db.secondarymetabolites.org/area?record=NC_017594.1&start=1863630&end=1875727
Streptococcus	plurextorum	DSM 22810	NZ_AUIO01000003.1	35854	77027	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AUIO01000003.1&start=35854&end=77027
Streptococcus	plurextorum	DSM 22810	NZ_AUIO01000010.1	40207	52361	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_AUIO01000010.1&start=40207&end=52361
Streptococcus	Unknown	HSISM1	NZ_CM002128.1	1123410	1145851	ras-ripp	false	TP-1161	8	BGC0000615	https://antismash-db.secondarymetabolites.org/area?record=NZ_CM002128.1&start=1123410&end=1145851
Streptococcus	Unknown	HSISM1	NZ_CM002128.1	1412825	1453998	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CM002128.1&start=1412825&end=1453998
Streptococcus	Unknown	139.rep1_SPAR	NZ_JVSS01000023.1	104891	141479	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JVSS01000023.1&start=104891&end=141479
Streptococcus	Unknown	139.rep1_SPAR	NZ_JVSS01000027.1	14672	32669	ras-ripp	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JVSS01000027.1&start=14672&end=32669
Streptococcus	Unknown	139.rep1_SPAR	NZ_JVSS01000041.1	12581	26153	lanthipeptide-class-ii	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JVSS01000041.1&start=12581&end=26153
Streptococcus	Unknown	139.rep1_SPAR	NZ_JVSS01000081.1	0	8822	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JVSS01000081.1&start=0&end=8822
Streptococcus	Unknown	400_SSPC	NZ_JVIQ01000049.1	0	21399	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JVIQ01000049.1&start=0&end=21399
Streptococcus	Unknown	400_SSPC	NZ_JVIQ01000051.1	0	8624	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JVIQ01000051.1&start=0&end=8624
Streptococcus	Unknown	SMRU1079	NZ_CRDR01000007.1	32143	57153	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRDR01000007.1&start=32143&end=57153
Streptococcus	Unknown	SMRU1079	NZ_CRDR01000011.1	501	10798	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRDR01000011.1&start=501&end=10798
Streptococcus	Unknown	SMRU1079	NZ_CRDR01000021.1	5121	16765	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRDR01000021.1&start=5121&end=16765
Streptococcus	Unknown	SMRU1079	NZ_CRDR01000028.1	0	21697	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRDR01000028.1&start=0&end=21697
Streptococcus	Unknown	SMRU1079	NZ_CRDR01000055.1	3203	8740	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CRDR01000055.1&start=3203&end=8740
Streptococcus	Unknown	F0610 (5-114)	NZ_CP014264.1	126651	138805	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP014264.1&start=126651&end=138805
Streptococcus	Unknown	F0610 (5-114)	NZ_CP014264.1	953986	964286	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP014264.1&start=953986&end=964286
Streptococcus	Unknown	F0610 (5-114)	NZ_CP014264.1	1706221	1747394	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP014264.1&start=1706221&end=1747394
Streptococcus	Unknown	HMSC067H01	NZ_KV817781.1	382570	423743	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KV817781.1&start=382570&end=423743
Streptococcus	Unknown	HMSC067H01	NZ_KV817792.1	155283	167437	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_KV817792.1&start=155283&end=167437
Streptococcus	Unknown	321A	NZ_LBMT01000001.1	494198	506352	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LBMT01000001.1&start=494198&end=506352
Streptococcus	Unknown	321A	NZ_LBMT01000001.1	712784	723081	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LBMT01000001.1&start=712784&end=723081
Streptococcus	Unknown	321A	NZ_LBMT01000001.1	2019208	2060381	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LBMT01000001.1&start=2019208&end=2060381
Streptococcus	Unknown	SPN_23	NZ_NANR01000013.1	8541	18841	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NANR01000013.1&start=8541&end=18841
Streptococcus	Unknown	SPN_23	NZ_NANR01000014.1	37303	46531	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NANR01000014.1&start=37303&end=46531
Streptococcus	Unknown	SPN_23	NZ_NANR01000002.1	92149	133322	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NANR01000002.1&start=92149&end=133322
Streptococcus	Unknown	SPN_23	NZ_NANR01000032.1	0	8573	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NANR01000032.1&start=0&end=8573
Streptococcus	Unknown	SPN_23	NZ_NANR01000033.1	0	11148	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NANR01000033.1&start=0&end=11148
Streptococcus	Unknown	SPN_23	NZ_NANR01000008.1	6934	17231	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NANR01000008.1&start=6934&end=17231
Streptococcus	Unknown	SPN_23	NZ_NANR01000009.1	32828	45927	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_NANR01000009.1&start=32828&end=45927
Streptococcus	oralis	UMB0079b	NZ_PNFQ01000001.1	210883	252056	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_PNFQ01000001.1&start=210883&end=252056
Streptococcus	oralis	UMB0079b	NZ_PNFQ01000001.1	402828	412500	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_PNFQ01000001.1&start=402828&end=412500
Streptococcus	oralis	UMB0079b	NZ_PNFQ01000013.1	17032	29186	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_PNFQ01000013.1&start=17032&end=29186
Streptococcus	Unknown	714	NZ_VMMH01000010.1	117274	150728	ripp-like ras-ripp hybrid	false	thermophilin 1277	25	BGC0000561	https://antismash-db.secondarymetabolites.org/area?record=NZ_VMMH01000010.1&start=117274&end=150728
Streptococcus	Unknown	714	NZ_VMMH01000020.1	13099	23327	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMMH01000020.1&start=13099&end=23327
Streptococcus	Unknown	714	NZ_VMMH01000021.1	0	22512	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMMH01000021.1&start=0&end=22512
Streptococcus	Unknown	714	NZ_VMMH01000009.1	104726	116880	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_VMMH01000009.1&start=104726&end=116880
Streptococcus	Unknown	SC4B13	NZ_JABTZM010000001.1	141532	151832	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JABTZM010000001.1&start=141532&end=151832
Streptococcus	Unknown	SC4B13	NZ_JABTZM010000015.1	0	23358	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JABTZM010000015.1&start=0&end=23358
Streptococcus	Unknown	SC4B13	NZ_JABTZM010000032.1	0	14704	lanthipeptide-class-ii	true	suicin 3908	88	BGC0001787	https://antismash-db.secondarymetabolites.org/area?record=NZ_JABTZM010000032.1&start=0&end=14704
Streptococcus	Unknown	SC4B13	NZ_JABTZM010000032.1	33615	51165	rre-containing	true	cochonodin I	100	BGC0002575	https://antismash-db.secondarymetabolites.org/area?record=NZ_JABTZM010000032.1&start=33615&end=51165
Streptococcus	Unknown	SC4B13	NZ_JABTZM010000053.1	0	14591	lap	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JABTZM010000053.1&start=0&end=14591
Streptococcus	Unknown	S44	NZ_JALDUJ010000001.1	1026274	1067447	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDUJ010000001.1&start=1026274&end=1067447
Streptococcus	Unknown	S44	NZ_JALDUJ010000003.1	114434	126588	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDUJ010000003.1&start=114434&end=126588
Streptococcus	Unknown	S03	NZ_JALDVR010000001.1	129432	139597	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVR010000001.1&start=129432&end=139597
Streptococcus	Unknown	S03	NZ_JALDVR010000022.1	0	5653	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVR010000022.1&start=0&end=5653
Streptococcus	Unknown	S03	NZ_JALDVR010000004.1	2379	43552	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVR010000004.1&start=2379&end=43552
Streptococcus	Unknown	S03	NZ_JALDVR010000005.1	49429	61583	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVR010000005.1&start=49429&end=61583
Streptococcus	Unknown	O4-3	NZ_JALDVY010000002.1	134197	175370	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVY010000002.1&start=134197&end=175370
Streptococcus	Unknown	O4-3	NZ_JALDVY010000006.1	8058	20212	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVY010000006.1&start=8058&end=20212
Streptococcus	Unknown	O4-3	NZ_JALDVY010000009.1	28031	44091	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDVY010000009.1&start=28031&end=44091
Streptococcus	Unknown	O1-1	NZ_JALDWH010000008.1	22118	34272	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JALDWH010000008.1&start=22118&end=34272
Streptococcus	Unknown	WUSP070	NZ_CP116957.1	774079	815258	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP116957.1&start=774079&end=815258
Streptococcus	Unknown	WUSS296	NZ_JAMYIZ010000001.1	947048	988203	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAMYIZ010000001.1&start=947048&end=988203
Streptococcus	Unknown	WUSS296	NZ_JAMYIZ010000003.1	1277	23765	ras-ripp	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAMYIZ010000003.1&start=1277&end=23765
Streptococcus	Unknown	AM97-57	NZ_JAQESP010000001.1	132329	173508	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_JAQESP010000001.1&start=132329&end=173508
Streptococcus	Unknown	VSI52	NZ_CP118046.1	135085	176258	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP118046.1&start=135085&end=176258
Streptococcus	Unknown	VSI52	NZ_CP118046.1	307576	372303	nrps nrps-like hybrid	false	thermophilin 1277	40	BGC0000561	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP118046.1&start=307576&end=372303
Streptococcus	Unknown	VSI52	NZ_CP118046.1	667848	680002	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP118046.1&start=667848&end=680002
Streptococcus	Unknown	GPSC427	NZ_FHSF02000001.1	70419	90530	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FHSF02000001.1&start=70419&end=90530
Streptococcus	Unknown	GPSC427	NZ_FHSF02000006.1	27713	68886	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FHSF02000006.1&start=27713&end=68886
Streptococcus	Unknown	GPSC427	NZ_FHSF02000011.1	14107	33515	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FHSF02000011.1&start=14107&end=33515
Streptococcus	Unknown	GPSC427	NZ_FHSF02000012.1	10315	20612	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FHSF02000012.1&start=10315&end=20612
Streptococcus	Unknown	GPSC427	NZ_FHSF02000018.1	0	6236	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FHSF02000018.1&start=0&end=6236
Streptococcus	Unknown	GPSC427	NZ_FHSF02000021.1	16306	23220	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_FHSF02000021.1&start=16306&end=23220
Streptococcus	equi	NCTC12090	NZ_LS483328.1	491576	515348	lap	false	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483328.1&start=491576&end=515348
Streptococcus	equi	NCTC12090	NZ_LS483328.1	529046	541200	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483328.1&start=529046&end=541200
Streptococcus	equi	NCTC12090	NZ_LS483328.1	754389	771852	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483328.1&start=754389&end=771852
Streptococcus	equi	NCTC12090	NZ_LS483328.1	779856	802086	ras-ripp	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483328.1&start=779856&end=802086
Streptococcus	equi	NCTC12090	NZ_LS483328.1	1082611	1092842	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483328.1&start=1082611&end=1092842
Streptococcus	equi	NCTC12090	NZ_LS483328.1	1577994	1600625	lanthipeptide-class-iv	false	iturin	22	BGC0001098	https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483328.1&start=1577994&end=1600625
Streptococcus	equi	NCTC12090	NZ_LS483328.1	1667120	1686885	ripp-like	false	ubericin K	31	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483328.1&start=1667120&end=1686885
Streptococcus	equi	NCTC12090	NZ_LS483328.1	1749518	1759743	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483328.1&start=1749518&end=1759743
Streptococcus	equi	NCTC12090	NZ_LS483328.1	2063041	2083968	furan	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483328.1&start=2063041&end=2083968
Streptococcus	Unknown	NCTC12050	NZ_LS483334.1	1085152	1126328	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483334.1&start=1085152&end=1126328
Streptococcus	Unknown	NCTC12050	NZ_LS483334.1	1222765	1246532	lap	false	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483334.1&start=1222765&end=1246532
Streptococcus	Unknown	NCTC12050	NZ_LS483334.1	1427699	1449493	ripp-like	false	ubericin K	18	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483334.1&start=1427699&end=1449493
Streptococcus	Unknown	NCTC10880	NZ_LS483394.1	392723	402951	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483394.1&start=392723&end=402951
Streptococcus	Unknown	NCTC10880	NZ_LS483394.1	542019	565786	lap	false	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483394.1&start=542019&end=565786
Streptococcus	Unknown	NCTC10880	NZ_LS483394.1	662295	703471	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LS483394.1&start=662295&end=703471
Streptococcus	Unknown	GPSC117	NZ_LR216054.1	18401	31500	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR216054.1&start=18401&end=31500
Streptococcus	Unknown	GPSC117	NZ_LR216054.1	448326	461422	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_LR216054.1&start=448326&end=461422
Streptococcus	Unknown	GPSC117	NZ_LR216054.1	1508839	1550012	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR216054.1&start=1508839&end=1550012
Streptococcus	Unknown	GPSC117	NZ_LR216054.1	1763069	1773366	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR216054.1&start=1763069&end=1773366
Streptococcus	Unknown	NS7185	NZ_CAAIRS010000001.1	297778	338954	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CAAIRS010000001.1&start=297778&end=338954
Streptococcus	Unknown	NS7185	NZ_CAAIRS010000001.1	435402	459169	lap	false	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/area?record=NZ_CAAIRS010000001.1&start=435402&end=459169
Streptococcus	Unknown	NS7185	NZ_CAAIRS010000001.1	608602	620484	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_CAAIRS010000001.1&start=608602&end=620484
Streptococcus	Unknown	NS7185	NZ_CAAIRS010000012.1	0	12447	lanthipeptide-class-ii	true	streptococcin A-FF22	100	BGC0000557	https://antismash-db.secondarymetabolites.org/area?record=NZ_CAAIRS010000012.1&start=0&end=12447
Streptococcus	Unknown		NZ_LR800290.1	250377	262474	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR800290.1&start=250377&end=262474
Streptococcus	Unknown		NZ_LR800290.1	288937	301094	ripp-like	false	ubericin K	18	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_LR800290.1&start=288937&end=301094
Streptococcus	Unknown		NZ_LR800290.1	537535	578702	t3pks	false	coumermycin A1	6	BGC0000833	https://antismash-db.secondarymetabolites.org/area?record=NZ_LR800290.1&start=537535&end=578702
Streptococcus	Unknown		NZ_LR800290.1	1873702	1883882	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR800290.1&start=1873702&end=1883882
Streptococcus	Unknown		NZ_LR822037.1	508873	530007	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR822037.1&start=508873&end=530007
Streptococcus	Unknown		NZ_LR822037.1	813464	850498	ras-ripp	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR822037.1&start=813464&end=850498
Streptococcus	Unknown		NZ_LR822037.1	1477952	1492569	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR822037.1&start=1477952&end=1492569
Streptococcus	Unknown		NZ_LR822037.1	1706362	1728522	lanthipeptide-class-iv	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR822037.1&start=1706362&end=1728522
Streptococcus	Unknown	Marseille-Q3533	NZ_OW724079.1	1043695	1084868	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_OW724079.1&start=1043695&end=1084868
Streptococcus	pyogenes	MGAS9429	NC_008021.1	392669	402897	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NC_008021.1&start=392669&end=402897
Streptococcus	pyogenes	MGAS9429	NC_008021.1	587259	611026	lap	false	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/area?record=NC_008021.1&start=587259&end=611026
Streptococcus	pyogenes	MGAS9429	NC_008021.1	708469	749645	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_008021.1&start=708469&end=749645
Streptococcus	pyogenes	MGAS9429	NC_008021.1	877703	901933	lanthipeptide-class-i	false	streptin	90	BGC0000556	https://antismash-db.secondarymetabolites.org/area?record=NC_008021.1&start=877703&end=901933
Streptococcus	suis	GZ1	NC_017617.1	1482887	1524042	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_017617.1&start=1482887&end=1524042
Streptococcus	suis	GZ1	NC_017617.1	1840501	1862975	ras-ripp	false		0		https://antismash-db.secondarymetabolites.org/area?record=NC_017617.1&start=1840501&end=1862975
Streptococcus	mitis	NCTC 12261	NZ_CP028414.1	49784	61938	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP028414.1&start=49784&end=61938
Streptococcus	mitis	NCTC 12261	NZ_CP028414.1	332771	342999	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP028414.1&start=332771&end=342999
Streptococcus	mitis	NCTC 12261	NZ_CP028414.1	1185623	1195788	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP028414.1&start=1185623&end=1195788
Streptococcus	mitis	NCTC 12261	NZ_CP028414.1	1433213	1474386	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP028414.1&start=1433213&end=1474386
Streptococcus	Unknown	GPSC47	NZ_LR216060.1	47347	60378	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR216060.1&start=47347&end=60378
Streptococcus	Unknown	GPSC47	NZ_LR216060.1	110760	130757	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR216060.1&start=110760&end=130757
Streptococcus	Unknown	GPSC47	NZ_LR216060.1	513239	526397	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_LR216060.1&start=513239&end=526397
Streptococcus	Unknown	GPSC47	NZ_LR216060.1	657321	667621	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR216060.1&start=657321&end=667621
Streptococcus	Unknown	GPSC47	NZ_LR216060.1	1307868	1349733	lanthipeptide-class-v	false	bovicin HJ50	13	BGC0000498	https://antismash-db.secondarymetabolites.org/area?record=NZ_LR216060.1&start=1307868&end=1349733
Streptococcus	Unknown	GPSC47	NZ_LR216060.1	1659961	1701134	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR216060.1&start=1659961&end=1701134
Streptococcus	Unknown	GPSC47	NZ_LR216060.1	1900869	1911166	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_LR216060.1&start=1900869&end=1911166
Streptococcus	Unknown	SMRU6	NZ_CKAA01000004.1	0	21709	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CKAA01000004.1&start=0&end=21709
Streptococcus	Unknown	SMRU6	NZ_CKAA01000014.1	13552	23771	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CKAA01000014.1&start=13552&end=23771
Streptococcus	Unknown	SMRU6	NZ_CKAA01000022.1	0	7881	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CKAA01000022.1&start=0&end=7881
Streptococcus	Unknown	SMRU6	NZ_CKAA01000033.1	17574	24456	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CKAA01000033.1&start=17574&end=24456
Streptococcus	Unknown	SMRU6	NZ_CKAA01000034.1	17638	23785	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CKAA01000034.1&start=17638&end=23785
Streptococcus	Unknown	SMRU248	NZ_CGWJ01000013.1	6687	19714	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CGWJ01000013.1&start=6687&end=19714
Streptococcus	Unknown	SMRU248	NZ_CGWJ01000015.1	17451	30753	ripp-like	false	ubericin K	12	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_CGWJ01000015.1&start=17451&end=30753
Streptococcus	Unknown	SMRU248	NZ_CGWJ01000018.1	3675	27852	lanthipeptide-class-i	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CGWJ01000018.1&start=3675&end=27852
Streptococcus	Unknown	SMRU248	NZ_CGWJ01000030.1	0	34003	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CGWJ01000030.1&start=0&end=34003
Streptococcus	Unknown	SMRU2871	NZ_CMAA01000003.1	97341	107641	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CMAA01000003.1&start=97341&end=107641
Streptococcus	Unknown	SMRU2871	NZ_CMAA01000006.1	65223	75511	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CMAA01000006.1&start=65223&end=75511
Streptococcus	Unknown	SMRU2871	NZ_CMAA01000006.1	86029	107808	t3pks	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CMAA01000006.1&start=86029&end=107808
Streptococcus	Unknown	SMRU2871	NZ_CMAA01000008.1	0	8367	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CMAA01000008.1&start=0&end=8367
Streptococcus	Unknown	SMRU2871	NZ_CMAA01000010.1	7798	30258	lanthipeptide-class-iv	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CMAA01000010.1&start=7798&end=30258
Streptococcus	Unknown	SMRU2871	NZ_CMAA01000013.1	9965	20262	ripp-like	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CMAA01000013.1&start=9965&end=20262
Streptococcus	Unknown	SMRU2871	NZ_CMAA01000019.1	0	6753	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CMAA01000019.1&start=0&end=6753
Streptococcus	Unknown	SMRU2871	NZ_CMAA01000027.1	14104	23100	ripp-like	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CMAA01000027.1&start=14104&end=23100
Streptococcus	Unknown	SMRU2871	NZ_CMAA01000042.1	0	6228	lanthipeptide-class-iv	true		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CMAA01000042.1&start=0&end=6228
Streptococcus	Unknown	DN13	NZ_CP015557.1	945583	968529	lanthipeptide-class-ii	false	thermophilin 1277	20	BGC0000561	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP015557.1&start=945583&end=968529
Streptococcus	Unknown	DN13	NZ_CP015557.1	1523977	1565132	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP015557.1&start=1523977&end=1565132
Streptococcus	Unknown	GURSA1	NZ_CP022206.1	1186100	1227276	t3pks	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP022206.1&start=1186100&end=1227276
Streptococcus	Unknown	GURSA1	NZ_CP022206.1	1324059	1347826	lap	false	streptolysin S	100	BGC0000566	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP022206.1&start=1324059&end=1347826
Streptococcus	Unknown	GURSA1	NZ_CP022206.1	1487116	1511605	ripp-like	false	ubericin K	25	BGC0002585	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP022206.1&start=1487116&end=1511605
Streptococcus	Unknown	ST3	NZ_CP017064.1	271130	314022	nrps-like	false	asukamycin	4	BGC0000187	https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017064.1&start=271130&end=314022
Streptococcus	Unknown	ST3	NZ_CP017064.1	522179	543312	rre-containing	false		0		https://antismash-db.secondarymetabolites.org/area?record=NZ_CP017064.1&start=522179&end=543312
